Prek Center Name;License Type;3 Year Old Capacity;4 Year Old Capacity;Total Capacity;Test;Grade and Subject;Valid Tests;Proficient Tests;Percent Proficient;Funding Source;Address;Zip Code;City;Full Address;Latitude;Longitude;Census Tract 2000;Census Tract 2010;Census Tract 2020;City Council District;Commission District;Super District;Geopoint
Bartlett Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;99.0;50.0;50.5;F8M;3932 Billy Maher Rd.;38135;Bartlett;3932 Billy Maher Rd. Bartlett, TN 38135;35.2332442;-89.8637611;47157020641;47157020643;47157020655;;3;;34.153545817447466, -92.50896936766365
Westhaven Elementary School Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;103.0;11.0;10.7;619;4585 Hodge Road;38109;Memphis;4585 Hodge Road Memphis, TN 38109;35.0240056;-90.0498656;47157022322;47157022322;47157022322;6;11;8;34.15354521001339, -92.50896993524474
Downtown Elementary Pre-K;DOE;0;60;60.0;TNReady;3rd - ELA;105.0;18.0;17.1;F8M;10 North 4th Street;38103;Memphis;10 North 4th Street Memphis, TN 38103;35.1443156;-90.0468747;47157004100;47157011400;47157011402;7;8;8;34.153545540293564, -92.50896995180213
Rivercrest Elementary Pre-K;DOE;13;13;26.0;TNReady;3rd - ELA;106.0;57.0;53.8;619 blended;4825 Rivercrest Lane;38135;Bartlett;4825 Rivercrest Lane Bartlett, TN 38135;35.2584512;-89.8539386;47157020641;47157020644;47157020657;;3;;34.15354588832548, -92.508969340817
Rivercrest Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;106.0;57.0;53.8;VPK;4825 Rivercrest Ln;38135;Bartlett;4825 Rivercrest Ln Bartlett, TN 38135;35.2584512;-89.8539386;47157020641;47157020644;47157020657;;3;;34.15354588832548, -92.508969340817
Parkway Village Elementary Pre-K;DOE;30;30;60.0;TNReady;3rd - ELA;119.0;24.0;20.2;Head Start;3000 Claudette Road;38118;Memphis;3000 Claudette Road Memphis, TN 38118;35.0669197;-89.9244909;47157010610;47157010610;47157010610;4;12;9;34.15354535051506, -92.50896953134864
Altruria Elementary Preschool;DOE;20;20;40.0;TNReady;3rd - ELA;142.0;71.0;50.0;tuition;6641 Deermont Drive;38134;Bartlett;6641 Deermont Drive Bartlett, TN 38134;35.2149161;-89.842138;47157020631;47157020634;47157020634;;3;;34.153545771162776, -92.50896929235498
Riverwood Elementary Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;145.0;73.0;50.3;Fund 1;1330 Stern Lane;38016;Memphis;1330 Stern Lane Memphis, TN 38016;35.1614747;-89.7756071;47157021136;47157021136;47157021136;2;2;9;34.15354563684073, -92.50896906128996
Millington Primary School Pre-K;DOE;130;130;260.0;TNReady;3rd - ELA;180.0;76.0;42.2;VPK;6445 William Osteen Drive;38053;Memphis;6445 William Osteen Drive Memphis, TN 38053;35.3428433;-89.8475023;47157020210;47157020210;47157020210;;1;;34.15354612079425, -92.50896933812926
Macon Road Baptist School - Lakeland Campus;Unlicensed;100;100;200.0;;;;;;tuition;11015 Highway 64;38002;Arlington;11015 Highway 64 Arlington, TN 38002;35.2050644;-89.6959058;47157021010;47157021010;47157021023;;1;;34.15354577085645, -92.50896880811236
Lambs & Ivy;DOE;9;11;20.0;;;;;;Head Start;1185 Macon View Drive;38018;Memphis;1185 Macon View Drive Memphis, TN 38018;35.1577808;-89.7324965;47157021020;47157021020;47157021020;;2;;34.15354563458654, -92.50896891835741
Youth Engineered Success @Havenview LEAP;DOE;40;40;80.0;;;;;;tuition;1481 Hester Road;38116;Memphis;1481 Hester Road Memphis, TN 38116;35.0090825;-90.0143188;47157022120;47157022121;47157022121;3;11;8;34.15354517560256, -92.50896981478186
Delano Head Start;DOE;20;20;40.0;;;;;;Head Start;1727 Oberle Ave;38127;Memphis;1727 Oberle Ave Memphis, TN 38127;35.2010219;-90.005756;47157010120;47157010120;47157010120;7;8;8;34.15354570321489, -92.50896982869877
Gateway;DOE;9;11;20.0;;;;;;Head Start;185 East Norwood;38109;Memphis;185 East Norwood Memphis, TN 38109;35.0912092;-90.0565917;47157005500;47157005500;47157005500;6;9;8;34.15354539297079, -92.5089699721749
Evangelical Christian School - Lower School;Unlicensed;10;10;20.0;;;;;;tuition;1920 Forest Hill-Irene Road;38139;Germantown;1920 Forest Hill-Irene Road Germantown, TN 38139;35.0962831;-89.7566896;47157021353;47157021353;47157021357;;4;;34.15354546162311, -92.50896898461058
St. Francis of Assisi Early Childhood;DOE;40;40;80.0;;;;;;tuition;2100 N. Germantown Parkway;38016;Memphis;2100 N. Germantown Parkway Memphis, TN 38016;35.1828273;-89.791387;47157021134;47157021142;47157021142;1;2;9;34.15354569248131, -92.50896911799965
The Little House Enrichment Center, LLC;DHS;9;9;18.0;;;;;;tuition;2125 S. Third Street;38109;Memphis;2125 S. Third Street Memphis, TN 38109;35.0892445;-90.0571962;47157005500;47157005500;47157005500;6;9;8;34.15354538747579, -92.50896997373633
Balmoral Baptist Church Pre-School;DHS;20;20;40.0;;;;;;tuition;2676 Kirby Rd.;38119;Memphis;2676 Kirby Rd. Memphis, TN 38119;35.0758329;-89.84176;47157021332;47157021333;47157021333;2;10;9;34.1535453900458, -92.50896926056924
Kids R Kreative;DHS;10;10;20.0;;;;;;tuition;2767 Frayser Blvd;38127;Memphis;2767 Frayser Blvd Memphis, TN 38127;35.2210682;-89.9711019;47157010220;47157010220;47157010220;1;6;9;34.1535457644819, -92.50896971885733
Ridgeway Early Learning Center;DOE;0;100;100.0;;;;;;F8M;3435 Ridge Meadow Parkway;38115;Memphis;3435 Ridge Meadow Parkway Memphis, TN 38115;35.0540048;-89.8581424;47157021721;47157021721;47157021721;3;13;8;34.153545327230866, -92.50896930978367
Ridgeway Early Learning Center;DOE;40;40;80.0;;;;;;VPK;3435 Ridge Meadow Parkway;38115;Memphis;3435 Ridge Meadow Parkway Memphis, TN 38115;35.0540048;-89.8581424;47157021721;47157021721;47157021721;3;13;8;34.153545327230866, -92.50896930978367
