Prek Center Name;License Type;3 Year Old Capacity;4 Year Old Capacity;Total Capacity;Test;Grade and Subject;Valid Tests;Proficient Tests;Percent Proficient;Funding Source;Address;Zip Code;City;Full Address;Latitude;Longitude;Census Tract 2000;Census Tract 2010;Census Tract 2020;City Council District;Commission District;Super District;Geopoint
First Star Learning Academy;DHS;10;10;20.0;;;;;;tuition;3079 Crystal;38112;Memphis;3079 Crystal Memphis, TN 38112;35.1433749;-89.9673469;47157002800;47157002800;47157002800;5;7;9;34.153545552232956, -92.50896968941862
La Petite Academy @ Walnut Bend;DHS;38;38;76.0;;;;;;tuition;330 S. Walnut Bend;38018;Cordova;330 S. Walnut Bend Cordova, TN 38018;35.1211678;-89.7988668;47157021133;47157021140;47157021140;2;4;9;34.15354552212541, -92.50896912911904
Future Leaders;DOE;27;33;60.0;;;;;;Head Start;3428 University;38127;Memphis;3428 University Memphis, TN 38127;35.2189248;-89.9893252;47157010210;47157010210;47157010210;7;7;8;34.15354575528086, -92.50896977846291
Global Preschool Academy;DHS;10;10;20.0;;;;;;tuition;3525 HICKORY HILL ROAD;38115;Memphis;3525 HICKORY HILL ROAD Memphis, TN 38115;35.0533202;-89.8669869;47157010820;47157010820;47157010820;4;12;8;34.15354532374003, -92.50896933879073
Klassy Kids Academy #2, Inc.;DHS;18;18;36.0;;;;;;tuition;3750 Ridgeway Road;38115;Memphis;3750 Ridgeway Road Memphis, TN 38115;35.0453346;-89.8563976;47157021732;47157021732;47157021758;3;13;8;34.15354530378691, -92.50896930212785
The Learning Experience @ Germantown;DHS;35;35;70.0;;;;;;tuition;3750 S FOREST HILL IRENE;38125;Germantown;3750 S FOREST HILL IRENE Germantown, TN 38125;35.0274115;-89.7595625;47157021520;47157021520;47157021546;;4;;34.15354527234195, -92.5089689789589
Little Heritage Enrichment Center Inc.;DHS;10;10;20.0;;;;;;tuition;3802 Gragg Avenue;38108;Memphis;3802 Gragg Avenue Memphis, TN 38108;35.1797466;-89.9330968;47157008900;47157008900;47157008900;7;6;9;34.15354565816929, -92.50896958449373
The Goddard School-Collierville;DHS;38;38;76.0;;;;;;tuition;509 E Winchester Blvd.;38017;Collierville;509 E Winchester Blvd. Collierville, TN 38017;35.0374857;-89.6922932;47157021520;47157021520;47157021545;;2;;34.15354531223218, -92.50896875940626
Woodland Presbyterian Preschool;DOE;40;40;80.0;;;;;;tuition;5217 Park Avenue;38119;Memphis;5217 Park Avenue Memphis, TN 38119;35.1043817;-89.8883796;47157009500;47157009500;47157009501;2;10;9;34.15354545977937, -92.5089694205274
Dream Academy Learning Center;DHS;10;10;20.0;;;;;;tuition;5340 QUINCE ROAD;38119;Memphis;5340 QUINCE ROAD Memphis, TN 38119;35.0913171;-89.8839221;47157009500;47157009500;47157009502;2;10;9;34.15354542478686, -92.50896940296379
Shady Grove;DOE;60;60;120.0;;;;;;Model District;5360 Shady Grove Rd;38120;Memphis;5360 Shady Grove Rd Memphis, TN 38120;35.1236642;-89.884222;47157009600;47157009600;47157009600;5;10;9;34.15354551338595, -92.50896941105518
Shady Grove;DOE;6;54;60.0;;;;;;VPK/Head Start;5360 Shady Grove Rd;38120;Memphis;5360 Shady Grove Rd Memphis, TN 38120;35.1236642;-89.884222;47157009600;47157009600;47157009600;5;10;9;34.15354551338595, -92.50896941105518
Tipton Tots Daycare & Pre-K;DHS;15;15;30.0;;;;;;tuition;548 Munford Avenue;38058;Munford;548 Munford Avenue Munford, TN 38058;35.4468859;-89.7981285;;;47167040304;;;;34.15354641495734, -92.50896919820556
Kim's Kid Corral Christian Pre-School;DHS;10;10;20.0;;;;;;tuition;5700 Cleaves Circle;38002;Arlington;5700 Cleaves Circle Arlington, TN 38002;35.2821005;-89.6905144;47157020900;47157020900;47157020902;;1;;34.15354598297386, -92.5089688072541
Kindercare Learning Center @ Bartlett;DHS;12;12;24.0;;;;;;tuition;6000 Bartlett Center Dr;38134;Bartlett;6000 Bartlett Center Dr Bartlett, TN 38134;35.2064843;-89.8635543;47157020652;47157020652;47157020652;;3;;34.153545744144225, -92.50896936110603
Advent Arlington Presbyterian Preschool;DHS;32;32;64.0;;;;;;tuition;6176 Chester Street;38002;Arlington;6176 Chester Street Arlington, TN 38002;35.2948275;-89.6602019;47157020900;47157020900;47157020902;;1;;34.153546023388266, -92.50896871011834
St. Mary's Episcopal Preschool;DOE;40;40;80.0;;;;;;tuition;71 North Perkins Road;38117;Memphis;71 North Perkins Road Memphis, TN 38117;35.1329557;-89.9094611;47157008600;47157008600;47157008600;5;5;9;34.1535455342439, -92.50896949630037
Maria Montessori School;Unlicensed;7;7;14.0;;;;;;tuition;740 Harbor Bend Rd;38103;Memphis;740 Harbor Bend Rd Memphis, TN 38103;35.1613908;-90.0529478;47157000100;47157000100;47157000100;7;8;8;34.15354558598302, -92.50896997557248
Briarcrest Christian Preschool @ Eads;DOE;40;40;80.0;;;;;;tuition;76 South Houston Levee Rd.;38028;Eads;76 South Houston Levee Rd. Eads, TN 38028;35.1227137;-89.7313202;47157021020;47157021020;47157021020;;2;;34.153545538692704, -92.50896890677959
Freedom Prep Academy Pre-K @ Westwood;DOE;60;60;120.0;;;;;;F8M;778 Parkrose Rd.;38109;Memphis;778 Parkrose Rd. Memphis, TN 38109;35.0259205;-90.0904294;47157022330;47157022330;47157022330;6;11;8;34.153545207856745, -92.5089700693907
The Learning Experience @ Collierville;DHS;15;15;30.0;;;;;;tuition;780 E WINCHESTER ROAD;38017;Collierville;780 E WINCHESTER ROAD Collierville, TN 38017;35.0385727;-89.6985492;47157021520;47157021520;47157021544;;2;;34.15354531406932, -92.5089687802689
Cornerstone Learning Center;DHS;45;45;90.0;;;;;;tuition;8180 Sedgwick Way;38125-1058;Memphis;8180 Sedgwick Way Memphis, TN 38125-1058;35.060098;-89.7900914;47157021342;47157021342;47157021355;2;4;9;34.15354535635303, -92.50896908677986
Elite Preparatory Academy;DHS;9;9;18.0;;;;;;tuition;850 S. LAUDERDALE;38126;Memphis;850 S. LAUDERDALE Memphis, TN 38126;35.1240491;-90.0442049;47157004900;47157011600;47157011600;6;8;8;34.15354548523642, -92.5089699385506
YMCA Grace;DOE;9;11;20.0;;;;;;Head Start;8601 Trinity Road;38018;Cordova;8601 Trinity Road Cordova, TN 38018;35.14154159;-89.77724499;47157021137;47157021137;47157021144;2;4;9;34.15354558191093, -92.50896906231269
First Assembly Christian Pre-K & Jr-K;DOE;18;18;36.0;;;;;;tuition;8650 Walnut Grove Road;38018;Memphis;8650 Walnut Grove Road Memphis, TN 38018;35.1285656;-89.7739569;47157021137;47157021137;47157021144;2;4;9;34.153545546947804, -92.50896904862368
Greater Faith Tabernacle Institute for Success;;;;;;;;;;;;;;;;;;;;;;;
Countrywood KinderCare;DHS;12;12;24.0;;;;;;tuition;9434 U.S. Hwy 64;38002;Lakeland;9434 U.S. Hwy 64 Lakeland, TN 38002;35.2052691;-89.7478603;47157020830;47157020831;47157020837;;3;;34.15354576193334, -92.50896897943419
Germantown Baptist Church Learning Ctr;DOE;60;60;120.0;;;;;;tuition;9450 Poplar Avenue;38139;Germantown;9450 Poplar Avenue Germantown, TN 38139;35.0656528;-89.7473683;47157021353;47157021353;47157021356;;4;;34.153545379376084, -92.50896894715558
Caldwell-Guthrie;DOE;0;20;20.0;;;;;;Fund 1;951 Chelsea Ave;38107;Memphis;951 Chelsea Ave Memphis, TN 38107;35.16753004;-90.02515833;47157001900;47157001900;47157001900;7;7;8;34.153545607881746, -92.50896988530779
Knowledge Quest Early Childhood Academy;DHS;12;12;24.0;;;;;;tuition;990 College Park Suite 103;38126;Memphis;990 College Park Suite 103 Memphis, TN 38126;35.1200968;-90.0330146;47157004800;47157011600;47157011600;6;8;8;34.15354547644711, -92.50896990079204
La Petite Academy Coleman Com Part Pre-K;DOE;2;18;20.0;;;;;;VPK;2857 Coleman Rd.;38128;Memphis;2857 Coleman Rd. Memphis, TN 38128;35.2031814;-89.9138975;47157020542;47157020542;47157020542;1;6;9;34.153545725901964, -92.50896952634572
Springdale Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;31.0;19.0;61.3;VPK;880 N. Hollywood St.;38108;Memphis;880 N. Hollywood St. Memphis, TN 38108;35.1600896;-89.9752576;47157000900;47157000900;47157000900;5;7;9;34.15354559659893, -92.50896971916777
Delano Elementary Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;35.0;17.0;48.6;Head Start;1716 Delano Ave.;38127;Memphis;1716 Delano Ave. Memphis, TN 38127;35.1994198;-90.0057401;47157010120;47157010120;47157010120;7;8;8;34.1535456988269, -92.50896982829457
Hamilton School Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;40.0;5.0;12.5;VPK;1478 Wilson St;38106;Memphis;1478 Wilson St Memphis, TN 38106;35.105558;-90.0169062;47157006000;47157006000;47157006000;4;9;8;34.15354543954106, -92.50896984449555
Westside Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;40.0;6.0;15.0;VPK/Head Start;3347 Dawn Drive;38127;Memphis;3347 Dawn Drive Memphis, TN 38127;35.2171948;-90.0373404;47157009900;47157009901;47157009901;7;8;8;34.1535457417744, -92.50896993637335
Oak Forest Elementary School Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;44.0;23.0;52.3;F8M;7440 Nonconnah View;38119;Memphis;7440 Nonconnah View Memphis, TN 38119;35.0617324;-89.8150855;47157021332;47157021334;47157021334;2;13;9;34.15354535626985, -92.50896916953606
Oak Forest Elementary School Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;44.0;23.0;52.3;Fund 1;7440 Nonconnah View;38119;Memphis;7440 Nonconnah View Memphis, TN 38119;35.0617324;-89.8150855;47157021332;47157021334;47157021334;2;13;9;34.15354535626985, -92.50896916953606
Newberry Elementary School Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;46.0;25.0;54.3;Fund 1;5540 Newberry Road;38115;Memphis;5540 Newberry Road Memphis, TN 38115;35.0546554;-89.8787582;47157010820;47157010820;47157010820;4;12;8;34.15354532525062, -92.50896937789003
Cherokee Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;48.0;12.0;25.0;Head Start;3061 KIMBALL AVENUE;38114;Memphis;3061 KIMBALL AVENUE Memphis, TN 38114;35.0941172;-89.9601273;47157008120;47157008120;47157008120;4;9;8;34.15354541855004, -92.50896965480209
Cherokee Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;48.0;12.0;25.0;VPK;3061 KIMBALL AVENUE;38114;Memphis;3061 KIMBALL AVENUE Memphis, TN 38114;35.0941172;-89.9601273;47157008120;47157008120;47157008120;4;9;8;34.15354541855004, -92.50896965480209
Winridge Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;50.0;20.0;40.0;619;3500 Ridgeway Road;38115;Memphis;3500 Ridgeway Road Memphis, TN 38115;35.0519808;-89.8559131;47157021723;47157021726;47157021756;3;13;8;34.15354532209062, -92.50896930198996
Douglass School Pre-K;DOE;72;88;160.0;TNReady;3rd - ELA;53.0;9.0;17.0;Head Start;1650 Ash St.;38108;Memphis;1650 Ash St. Memphis, TN 38108;35.1775656;-89.9531982;47157009000;47157011100;47157011100;7;7;8;34.15354564852237, -92.50896965028252
Getwell Elementary School Pre-K;DOE;30;30;60.0;TNReady;3rd - ELA;57.0;13.0;22.8;VPK;2795 Getwell Road;38118;Memphis;2795 Getwell Road Memphis, TN 38118;35.0729528;-89.9334371;47157010500;47157010500;47157010500;3;12;8;34.153545365416896, -92.50896956216604
Sea Isle Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;58.0;15.0;25.9;SPED;5250 SEA ISLE ROAD;38117;Memphis;5250 SEA ISLE ROAD Memphis, TN 38117;35.0950892;-89.8883365;47157009500;47157009500;47157009501;2;10;9;34.15354543431923, -92.50896941834489
Sea Isle Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;58.0;15.0;25.9;VPK;5250 SEA ISLE ROAD;38117;Memphis;5250 SEA ISLE ROAD Memphis, TN 38117;35.0950892;-89.8883365;47157009500;47157009500;47157009501;2;10;9;34.15354543431923, -92.50896941834489
Raleigh-Bartlett Meadows Elem Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;59.0;6.0;10.2;Head Start;5195 Twin Woods Avenue;38134;Memphis;5195 Twin Woods Avenue Memphis, TN 38134;35.1956499;-89.890077;47157020621;47157020621;47157020621;1;6;9;34.153545709608714, -92.50896944616363
Kingsbury Elementary School Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;60.0;10.0;16.7;Head Start;4055 Bayliss Road;38108;Memphis;4055 Bayliss Road Memphis, TN 38108;35.1690002;-89.9253392;47157008800;47157008800;47157008800;5;7;9;34.153545630132726, -92.5089695565598
Kingsbury Elementary School Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;60.0;10.0;16.7;SPED;4055 Bayliss Road;38108;Memphis;4055 Bayliss Road Memphis, TN 38108;35.1690002;-89.9253392;47157008800;47157008800;47157008800;5;7;9;34.153545630132726, -92.5089695565598
Cromwell Elementary School Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;60.0;9.0;15.0;VPK;4989 Cromwell Rd;38118;Memphis;4989 Cromwell Rd Memphis, TN 38118;35.0455682;-89.8971722;47157010900;47157022600;47157022600;3;12;8;34.153545296983836, -92.50896943659957
Sherwood Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;66.0;11.0;16.7;VPK/Head Start;1156 Robin Hood Lane;38111;Memphis;1156 Robin Hood Lane Memphis, TN 38111;35.1000406;-89.9375849;47157008000;47157008000;47157008000;4;10;9;34.1535454388994, -92.50896958178785
A.B. Hill Elementary School Pre-K;DOE;40;0;40.0;TNReady;3rd - ELA;66.0;;;F8M;345 E. Olive Street;38016;Memphis;345 E. Olive Street Memphis, TN 38016;35.1098551;-90.0506066;47157005800;47157005800;47157005800;6;8;8;34.15354544516625, -92.50896995653822
A.B. Hill Elementary School Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;66.0;;;SPED;345 E. Olive Street;38016;Memphis;345 E. Olive Street Memphis, TN 38016;35.1098551;-90.0506066;47157005800;47157005800;47157005800;6;8;8;34.15354544516625, -92.50896995653822
Ford Road Elementary School Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;69.0;8.0;11.6;Fund 1;3336 Ford Road;38109;Memphis;3336 Ford Road Memphis, TN 38109;35.0577292;-90.0785184;47157022220;47157022220;47157022220;6;11;8;34.153545297209334, -92.50897003710854
Robert R. Church Elementary Pre-K;DOE;18;22;40.0;TNReady;3rd - ELA;71.0;15.0;21.1;Head Start;4100 Millbranch Road;38116;Memphis;4100 Millbranch Road Memphis, TN 38116;35.0373252;-90.0055943;47157022021;47157022024;47157022024;6;11;8;34.153545254600076, -92.50896979222155
Robert R. Church Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;71.0;15.0;21.1;VPK;4100 Millbranch Road;38116;Memphis;4100 Millbranch Road Memphis, TN 38116;35.0373252;-90.0055943;47157022021;47157022024;47157022024;6;11;8;34.153545254600076, -92.50896979222155
KIPP Memphis Collegiate Elementary School;DOE;40;40;80.0;TNReady;3rd - ELA;72.0;19.0;26.4;tuition;230 Henry Ave;38107-2483;Memphis;230 Henry Ave Memphis, TN 38107-2483;35.1667205;-90.0405303;47157000200;47157000200;47157000200;7;8;8;34.15354560285693, -92.50896993580635
Brownsville Road Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;72.0;29.0;40.3;VPK;5292 Banbury Street;38134;Memphis;5292 Banbury Street Memphis, TN 38134;35.1927931;-89.8692203;47157020621;47157020621;47157020621;;3;;34.153545705586374, -92.50896937677868
Oakhaven Elementary School Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;78.0;19.0;24.4;Fund 1;3795 Bishop Bridge Road;38118;Memphis;3795 Bishop Bridge Road Memphis, TN 38118;35.0450903;-89.9586687;47157011010;47157011010;47157011010;3;12;8;34.15354528444804, -92.50896963922834
Crump Elementary Pre-K;DOE;30;30;60.0;TNReady;3rd - ELA;79.0;16.0;20.3;VPK;4405 Crump Road;38141;Memphis;4405 Crump Road Memphis, TN 38141;35.0285626;-89.8614888;47157021741;47157021741;47157021759;3;13;8;34.15354525689041, -92.50896931522911
Ross Elementary School Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;79.0;24.0;30.4;Fund 1;4890 Ross Road;38141;Memphis;4890 Ross Road Memphis, TN 38141;35.0160743;-89.8363827;47157021754;47157021754;47157021754;3;13;8;34.153545227246724, -92.5089692297204
Willow Oaks Elementary School Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;81.0;28.0;34.6;Fund 1;4417 Willow Rd.;38117;Memphis;4417 Willow Rd. Memphis, TN 38117;35.0851734;-89.9162158;47157009700;47157009700;47157009700;5;10;9;34.153545402053666, -92.50896950807646
Holmes Road Elementary Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;83.0;17.0;20.5;F8M;1083 Holmes Road;38116;Memphis;1083 Holmes Road Memphis, TN 38116;35.0052494;-90.0298824;47157022130;47157022130;47157022130;3;12;8;34.153545162256066, -92.50896986524828
Hickory Ridge Elementary Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;89.0;20.0;22.5;VPK/Head Start;3890 Hickory Hill Road;38115;Memphis;3890 Hickory Hill Road Memphis, TN 38115;35.0415841;-89.8641879;47157021732;47157021732;47157021757;3;13;8;34.153545292085795, -92.50896932698637
Lucie E. Campbell Elementary Pre-K;DOE;30;30;60.0;TNReady;3rd - ELA;91.0;;;VPK;3232 Birchfield Drive;38127;Memphis;3232 Birchfield Drive Memphis, TN 38127;35.2144137;-89.9691698;47157010220;47157010220;47157010220;1;6;9;34.15354574659658, -92.50896971102665
Sycamore Elementary School Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;92.0;54.0;58.7;tuition;1155 Sycamore Road;38017;Collierville;1155 Sycamore Road Collierville, TN 38017;35.0123255;-89.6815474;47157021520;47157021520;47157021543;;2;;34.153545245237105, -92.50896871845627
Oak Elementary Pre-K;DOE;19;19;38.0;TNReady;3rd - ELA;99.0;52.0;52.5;619 blended;3573 Oak Rd;38135;Bartlett;3573 Oak Rd Bartlett, TN 38135;35.2240624;-89.8275808;47157020631;47157020633;47157020633;;3;;34.15354579888747, -92.508969246373
Westhaven Elementary School Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;103.0;11.0;10.7;VPK/Head Start;4585 Hodge Road;38109;Memphis;4585 Hodge Road Memphis, TN 38109;35.0240056;-90.0498656;47157022322;47157022322;47157022322;6;11;8;34.15354521001339, -92.50896993524474
Forest Hill Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;106.0;80.0;75.5;619;3368 Forest Hill Irene Rd.;38138;Germantown;3368 Forest Hill Irene Rd. Germantown, TN 38138;35.0573748;-89.758199;47157021342;47157021342;47157021355;;4;;34.153545354711426, -92.50896898104317
Riverdale Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;117.0;94.0;80.3;619;1745 Miller Farms Rd.;38138;Germantown;1745 Miller Farms Rd. Germantown, TN 38138;35.1014878;-89.8158224;47157021420;47157021420;47157021420;;4;;34.153545465093146, -92.50896918069478
White Station Elementary School Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;117.0;39.0;33.3;Fund 1;4840 Chickasaw Road;38117;Memphis;4840 Chickasaw Road Memphis, TN 38117;35.1397358;-89.9009459;47157008600;47157008600;47157008600;5;5;9;34.15354555438058, -92.50896946971731
Parkway Village Elementary Pre-K;DOE;30;30;60.0;TNReady;3rd - ELA;119.0;24.0;20.2;VPK;3000 Claudette Road;38118;Memphis;3000 Claudette Road Memphis, TN 38118;35.0669197;-89.9244909;47157010610;47157010610;47157010610;4;12;9;34.15354535051506, -92.50896953134864
Chimneyrock Elementary Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;120.0;37.0;30.8;F8M;8601 CHIMNEYROCK BLVD;38016;Memphis;8601 CHIMNEYROCK BLVD Memphis, TN 38016;35.176744;-89.7770362;47157021135;47157021135;47157021135;1;2;9;34.15354567842848, -92.50896906935404
Alcy Elementary Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;131.0;12.0;9.2;Head Start;1750 Alcy Road;38114;Memphis;1750 Alcy Road Memphis, TN 38114;35.0789894;-90.0045865;47157007821;47157007821;47157007821;6;9;8;34.15354536897332, -92.50896979804769
Macon-Hall Elementary School Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;152.0;61.0;40.1;Head Start;9800 Macon Road;38016;Memphis;9800 Macon Road Memphis, TN 38016;35.1623494;-89.7352725;47157021010;47157021010;47157021022;;1;;34.15354564660097, -92.50896892851213
Creative Home Academy and Preschool, LLC;DHS;10;10;20.0;;;;;;tuition;1149 Semmes Road;38111;Memphis;1149 Semmes Road Memphis, TN 38111;35.1002439;-89.9613854;47157007900;47157007900;47157007900;4;9;8;34.153545435111866, -92.50896966029491
1st Class Montessori School - Midtown;Unlicensed;12;12;24.0;;;;;;tuition;1336 Peabody Ave;38104;Memphis;1336 Peabody Ave Memphis, TN 38104;35.1329106;-90.0170346;47157003600;47157003600;47157003600;6;8;8;34.15354551448304, -92.50896985092487
McCormack Surprise Day School;DHS;9;9;18.0;;;;;;tuition;1424 Florida Street;38106;Memphis;1424 Florida Street Memphis, TN 38106;35.1084235;-90.0619407;47157005400;47157011700;47157011700;6;8;8;34.15354543917365, -92.50896999358866
St. Paul School;Unlicensed;38;38;76.0;;;;;;tuition;1425 E Shelby Dr;38116;Memphis;1425 E Shelby Dr Memphis, TN 38116;35.0200104;-90.015455;47157022120;47157022121;47157022121;3;11;8;34.153545205345274, -92.50896982092706
DESTINATION EDUCATION ACADEMY;DHS;11;11;22.0;;;;;;tuition;1639 Madison Ave;38104;Memphis;1639 Madison Ave Memphis, TN 38104;35.1376629;-90.0066449;47157003400;47157003400;47157003400;6;7;8;34.15354552940432, -92.50896981771695
Ms. Sunshine Learn and Laugh Academy;DHS;10;10;20.0;;;;;;tuition;1647 Semmes;38114;Memphis;1647 Semmes Memphis, TN 38114;35.0867901;-89.9620154;47157008120;47157008120;47157008120;4;9;8;34.15354539812397, -92.50896965941764
Gateway Learning Academy, LLC;DHS;10;10;20.0;;;;;;tuition;185 East Norwood Avenue;38109;Memphis;185 East Norwood Avenue Memphis, TN 38109;35.0912092;-90.0565917;47157005500;47157005500;47157005500;6;9;8;34.15354539297079, -92.5089699721749
Sycamore View Church of Christ Preschool;DHS;26;26;52.0;;;;;;tuition;1910 Sycamore View;38134;Memphis;1910 Sycamore View Memphis, TN 38134;35.1775942;-89.8706761;47157020610;47157020610;47157020610;1;6;9;34.153545663664936, -92.50896937824062
Central Learning Center;DOE;100;100;200.0;;;;;;tuition;2005 E. Winchester Blvd.;38017;Collierville;2005 E. Winchester Blvd. Collierville, TN 38017;35.043503;-89.7278719;47157021520;47157021520;47157021546;;2;;34.15354532222903, -92.50896887801878
Southern Avenue Charter School;DOE;40;40;80.0;;;;;;tuition;2221 Democrat Road;38132;Memphis;2221 Democrat Road Memphis, TN 38132;35.0683195;-89.9899973;47157010410;47157022500;47157022500;3;9;8;34.15354534239348, -92.50896974760903
Germantown Presbyterian Preschool;DHS;20;20;40.0;;;;;;tuition;2363 South Germantown Road South;38138;Germantown;2363 South Germantown Road South Germantown, TN 38138;35.0840007;-89.8107402;47157021430;47157021430;47157021430;;4;;34.15354541809391, -92.50896916010065
St. George's Episcopal Preschool;DHS;19;19;38.0;;;;;;tuition;2425 South Germantown Road;38138;Germantown;2425 South Germantown Road Germantown, TN 38138;35.0834927;-89.8127048;47157021430;47157021430;47157021430;;4;;34.153545416342986, -92.50896916646575
Olivia's Montessori Preschool;Unlicensed;8;8;16.0;;;;;;tuition;2755 Appling Rd;38133;Memphis;2755 Appling Rd Memphis, TN 38133;35.2007533;-89.8154881;47157021112;47157021112;47157021112;1;5;9;34.153545737211616, -92.50896920138919
First Baptist Broad;DOE;9;11;20.0;;;;;;Head Start;2835 Broad Ave.;38112;Memphis;2835 Broad Ave. Memphis, TN 38112;35.1469859;-89.9666083;47157002800;47157002800;47157002800;5;7;9;34.15354556226447, -92.5089696877766
Porter-Leath Early Childhood Academy/;DHS;60;60;120.0;;;;;;tuition;3060 Baskin St;38127;Memphis;3060 Baskin St Memphis, TN 38127;35.2100114;-90.0212576;47157010110;47157010110;47157010122;7;8;8;34.15354572502267, -92.50896988177634
Kidazzle-Flying Start;DOE;0;20;20.0;;;;;;F8M;3194 Independent Drive;38118;Memphis;3194 Independent Drive Memphis, TN 38118;35.0671136;-89.9572704;47157010420;47157980100;47157980100;3;12;8;34.15354534506269, -92.50896963945443
Porter-Leath E C Center-Rangeline & EHS;DHS;50;50;100.0;;;;;;tuition;3274 RANGELINE ROAD;38127;Memphis;3274 RANGELINE ROAD Memphis, TN 38127;35.2149886;-89.9749459;47157010220;47157010220;47157010220;1;6;9;34.15354574711779, -92.50896973019479
La Petite Cordova Community Part Pre-K;DOE;2;18;20.0;;;;;;VPK;330 S. Walnut Bend;38018;Memphis;330 S. Walnut Bend Memphis, TN 38018;35.1211678;-89.7988668;47157021133;47157021140;47157021140;2;4;9;34.15354552212541, -92.50896912911904
Red Robin's Academy of Learning, INC;DHS;8;8;16.0;;;;;;tuition;3311 Kimball;38111;Memphis;3311 Kimball Memphis, TN 38111;35.0940288;-89.952315;47157008120;47157008120;47157008120;4;9;8;34.15354541973388, -92.50896962902809
Ridgeway Early Learning Center;DOE;40;40;80.0;;;;;;Head Start;3435 Ridge Meadow Parkway;38115;Memphis;3435 Ridge Meadow Parkway Memphis, TN 38115;35.0540048;-89.8581424;47157021721;47157021721;47157021721;3;13;8;34.153545327230866, -92.50896930978367
Bartlett Baptist Kindergarten;Unlicensed;41;41;82.0;;;;;;tuition;3465 Kirby Whitten Parkway;38135;Bartlett;3465 Kirby Whitten Parkway Bartlett, TN 38135;35.2199841;-89.8380027;47157020631;47157020634;47157020634;;3;;34.15354578580757, -92.50896927983506
Word of Faith Christian Academy;DOE;40;40;80.0;;;;;;tuition;3528 Sharpe Avenue;38111;Memphis;3528 Sharpe Avenue Memphis, TN 38111;35.0870204;-89.9456481;47157008200;47157008200;47157008200;4;10;8;34.15354540174296, -92.50896960551061
Macon Road Baptist School - Oakland Campus;Unlicensed;10;10;20.0;;;;;;tuition;3540 Tomlin Rd;38068;Somerville;3540 Tomlin Rd Somerville, TN 38068;35.2314903;-89.4862895;;;47047060404;;;;34.1535458815469, -92.508968122879
CKC Pre-School, Inc;DHS;10;10;20.0;;;;;;tuition;3759 Horn Lake Road;38109;Memphis;3759 Horn Lake Road Memphis, TN 38109;35.045886;-90.070564;47157022310;47157022310;47157022310;6;11;8;34.15354526620265, -92.50897000828499
U.of.M.B.K.Lipman ECS/RI Ctr. & First 8;DOE;40;40;80.0;;;;;;tuition;3771 Poplar Avenue;38152;Memphis;3771 Poplar Avenue Memphis, TN 38152;35.1253159;-89.9361298;47157007300;47157007300;47157007300;5;10;9;34.153545508437155, -92.50896958254077
Highland Day School;DOE;104;104;208.0;;;;;;tuition;400 N. Houston Levee;38018;Memphis;400 N. Houston Levee Memphis, TN 38018;35.1363646;-89.7246434;47157021020;47157021020;47157021020;;2;;34.15354557732462, -92.50896888776582
Presbyterian Day School;Unlicensed;38;38;76.0;;;;;;tuition;4025 Poplar Ave;38111;Memphis;4025 Poplar Ave Memphis, TN 38111;35.123249;-89.9295839;47157007300;47157007300;47157007300;5;10;9;34.153545503967344, -92.50896956050725
